text,star_rating,helpful,id
"I LOVE this product for my rosacea prone skin. I recently tried to deviate to skinceutical spf, after using this for years, and broke out horribly. I ran to my closest derm to buy the EltaMD again.

I did buy this ONCE on Amazon (quite a while ago) and I got something that did not look like the product. It was the same texture, but kind of yellowish. That bottle, like one of the previous posters showed, did not have an expiration stamp. The bottles usually do have an expiration stamp on the bottom.

So, I still give it 5 stars for exceptional performance on sensitive skin and great sun protection, but recommend buying it in person, just to make sure you're getting the product you expect.

I decided to reach out recently to ask EltaMD about buying online (I was having difficulty locating it locally). Here's what EltaMD recently told me about Amazon being an authorized seller, dated 9/10/19.

""Thank you for contacting EltaMD.

All EltaMD products listed on amazon.com after 5/8/17 through a recent business agreement are authorized. Amazon now sells only authentic EltaMD products they purchase directly from us.

However, we strongly encourage you to consider purchasing from an authorized physician or online resellers that are physician-owned or operated businesses. They are knowledgeable about EltaMD products and can help you select the right regimen for your skin type. To find a physician near you, go to the following link Where to Buy. For online ordering, we authorize the following websites: Dermstore, Lovely Skin, and Skin Care RX.

EltaMD Consumer Care
Sarah""",5,20,B002MSN3QQ
"This is an excellent mineral sunscreen, but it WILL leave an obvious white cast on dark skin (I'm an NW44). There are some reviewers here who claim that it doesn't-- either they're not using the correct amount (1/4 teaspoon for the face) or they're lighter skinned than I am. Another thing is that it is quite drying and does leave a sheen on the skin once it has set-- this is easily corrected with a light dusting of powder (and it primes makeup beautifully) but you can't leave the house without it.",4,60,B002MSN3QQ
"it's difficult to give 1 star reviews but i felt like i had to write it just to get my opinion heard on this lotion. for UV protection i would say it's like most face sunscreens out there, my face did not break out nor did it get red. I have rosacea, oily skin, and very sensitive skin! (a killer combination i know).

the big problem i have is that is leaves your face WHITE! I've tried to put a liberal amount and a small amount. I tried using this only during the day, in combination with other lotions, after a toner. But it's still unbelievable white. Perhaps it would be better for light/fair skinned individuals, but i'm pretty tan so it looks like i put a layer of white out on my face. The final straw was when my classmate told me, ""Why is your face so white??"" Pretty embarrassing, and having acne is embarrassing enough.

Maybe this is more of a rant than a review, but if you like have your face looking like a ghost, by all means get this product. But if you have a tan/darker skinned complexion, i would stay away.",1,41,B002MSN3QQ
Used once. Caused reaction on face and broke out in hives. (See picture) Im unsure what ingredient would have caused such a severe reaction. Discontinued use and swelling and hives went away within 24 hours. Be careful.,1,25,B002MSN3QQ
"This is 2nd time that the pump does not work.
I had to break the top to get to the cream and use my fingers to get the cream.",1,210,B002MSN3QQ
"I’ve ordered and used this all-mineral spf product twice now. The pros: It does not sting my rosacea-prone skin, nor does it leave much of a white cast. The cons: It does leave my skin shiny and has a slight odor which I do not like (it fades quickly). The worst issue is the pilling. Not sometimes. Always. If I don’t rub it in just so and try to massage in a white streak, it pills. If I touch my face or neck, it pills. If I try to gently dust some powder on to mitigate the shine, it pills. The best sunscreen is one you like to use every day. This is not it.",1,14,B002MSN3QQ
"I've been using this product for two years and will not be without it for my morning routine. I carry one in my purse for driving (sun exposure) and reapply throughout the day if I leave the house or buildings. I'm nearly 60 y.o. and Asian. I used to have sun damaged age spots but since using this sunscreen, most faded and keeping my skin smooth.
Be sure to reapply religiously every two hours and wear a wide brim hat. I also started to use it on the back of my hands to prevent more spots from forming.
It's barely scented and pleasant. Easy to apply and not oily or sticky. It's easy to absorb and not chalky or leaving any unpleasant feel or reaction. My skin is not sensitive and has always been on a light to medium tone, depending on the seasons.
I recommend it to women of my age. And by the way, drink a lot of water and wear a hat whenever possible. I also don't lay out in the sun to tan either. I think that helps.",5,7,B002MSN3QQ
"My skin is acne-prone and dehydrated thanks to Tazorac. After cutting out dairy, I finally figured out why Tazorac could not keep me completely clear... EltaMD UV Clear. What was supposed to help combat the side effects of Tazorac actually impeded its effects.

EltaMD UV Clear causes clogged pores on my forehead and chin, and I typically get cystic acne on my chin because of it.

I have decided to halt Tazorac and all actives for now to let my skin barrier heal while I try to find a sunscreen that will not break me out.",1,22,B002MSN3QQ
"Update 5/28/18:

I initially gave this product 5 stars because it truly is a great product. However I did have to update my review due to the amount of product for the price I paid. This bottle of sunscreen contains 1.7 oz of product. For sunscreen application on the face, it is recommended that you use at least half a teaspoon worth (just for your face alone, not your neck). That half a teaspoon is about 0.083 oz per application. So the bottle can last you 20 applications, not days, applications (since it's recommended you apply every 2 to 3 hours). To pay more than 30 bucks for less than a month's worth of usage seems to be really pricey.

//

Pleasantly surprised with this sunscreen. I live in Arizona and I know for a fact that I haven't been using as much sunscreen as I should have. The problem was that it was always so tacky, greasy, left a white cast, and irritated my skin. I've been using this sunscreen for at least a week now, and it wasn't irritating to my sensitive skin at all. It applies easily. It's not watery but has a consistency of a thicker moisturizer. There's an initial cast as you are spreading the sunscreen evenly, but it goes away quite quickly. Sometimes I run into the issue with a gritty feeling left over after I apply sunscreen, I didn't have that issue with this one. It left my skin feeling plump and allowed me to apply my tinted moisturizer/make up after without any issues. I have oily/combo skin and this did not increase my sebum production at all, so that's definitely a plus.

The recommended amount of sunscreen to apply to one's face is half a teaspoon (just the face), so this bottle is on the smaller size for what it costs.

I had tried this sunscreen on the recommendation of a well-known influencer but had been debating between a more cost-effective (but seemingly just as good alternative). Missha's waterproof Sun Milk is a great contender with this sunscreen, for almost half the price! I'll see how the two compare.",3,14,B002MSN3QQ
"If you are debating on getting this, get the drmtlgy spf 45 instead!! Do your research first. This product bills and balls up so bad even with one simple moisturizer on underneath. Even without a moisturizer on, still balled up, so never mind re-applying. Can’t do anything with this sunscreen. I ordered the drmtlgy one instead and it doesn’t pill, almost identical ingredients, it’s cheaper and you get 2 oz of product. So yeah this is just all around not good I can’t believe the hype this product gets.",2,6,B002MSN3QQ
"I use to love this product and have been using it religiously for the last 7 years. However recently I came across company based in Canada called The Sunscreen Company who claims to have sent the products out for third party testing and ELTA MD spf 46 performed poorly in UVA protection factor values. UVA rays are responsible for aging and wrinkles. Since I love the product and wanted to continue using it, I emailed ELTA MD for re-assurance but never got a response from them.

Personally, I am inclined to trust the 3rd party findings because micronized zinc (like that used in EltaMD) inherently does not offer strong UVA protection, especially when included in such a low concentration (which is only one factor of the entire formulation process that contributes to final protection values). I’d love for EltaMD to perform testing and refute the data here, because I do want to go back to using their elegant formulas, but until then, I don’t have faith they offer good uva protection.",3,5,B002MSN3QQ
"I have been wearing sunscreen on my face everyday for about 7 years now. I've tried a lot different sunscreens and hated pretty much everything I tried. It either left a white cast, burned my skin and eyes, pilled up immediately, or was horrible under makeup. This sunscreen is not only good - but I actually enjoy wearing it!

I love almost everything about this sunscreen... my only complaint being it sometimes pills if I try to add anything on top of it. Other than that - the texture, the feel, the smell, I love. It is super rich and creamy to touch and feels very moisturizing when you apply to the face. It leaves a bit of shine but you can pat it out when it has dried. The container pumps the perfect amount each time - I use one pump for my face, neck, and ears.

I also have VERY acne prone skin and this has not broken me out. I has almost no acne causing ingredients - the exception being Zinc Oxide and Butylene Glycol which are both only 1 (out of 10) on the acne causing scale [source cosdna]. It has actually improved the quality / texture since adding it to my routine.

150% recommend",5,9,B002MSN3QQ
"I'm surprised this is marketed for acne skin because it is pretty heavy when you first put it on and takes a good 10-15 minutes to absorb. The pro is that there's not a white cast. While I loved the 5% niacinamide in it, the fact it makes my skin oily looking isn't worth it. I'd rather just use a niacinamide serum for that benefit. Also, due to the niacinamide, I can't use vitamin C in the morning. While they can go together, it is recommended to wait 15-20 minutes for the Vit C to absorb before putting on niacinamide. B/t the Vit C absorption and the time it takes for this to fully absorb, that's 25-30 minutes before putting on any makeup. I just don't have that kind of time in the morning.

Also, it's not waterproof, which is fine if you're in the office all day and just sitting in AC. However, I do think it clogs my pores a little if I'm outside more than 15 minutes in the humid summer weather. I will wait till fall/winter to finish this up and go back to finding another lighter sunscreen that doesn't clog my pores for the summer. My hunt for the perfect sunscreen continues.",3,7,B002MSN3QQ
"This is different than any other product I have ever tried. I have hyper-pigmented Asian skin that has always been sensitive to sunscreens. I used to avoid wearing any because I'd break out and then have dark blemishes for months afterwards. I figured it was better to put up with the hyper pigmentation and freckles than to deal with pore clogging sunscreens. But no more! Elta MD absorbs so quickly into the skin and is silky smooth unlike traditional sunscreens that leave a white sheen till it's absorbed. The bottle says the zinc oxide is microionized which might be why it feels so different. I plan on using this product before and after IPL treatment since it hasn't caused any reaction with my skin except make it look more radiant and clear. Highly recommend for acne, sun-damaged, blemished, mid-age skin.",5,20,B002MSN3QQ
"I have acne-prone skin that is very oily but can also be dry and flaky because I use tretinoin cream. I can have dry skin flaking off while my face is still covered in a sheen of oil. Lucky me, right? I prefer to utilize physical sunscreen, so I appreciate that this contains zinc oxide and only one chemical sunscreen. It does not leave a white cast on my face. This sunscreen is not very greasy, as far as sunscreens go. An unexpected bonus that I've discovered is that it actually seems to make my skin less oily during the day, actually better than any primer I've tried. It does not cause me to break out. It is decently moisturizing compared to most other physical sunscreens I've tried. However, during the winter I still need to sometimes add a more heavy duty moisturizer to some flaky areas. I use this as my everyday face sunscreen -- I cannot attest to its quality if used as a beach/sport sunscreen.

-1 star because it is so expensive for such a small amount. But luckily it does last for a while even with daily use.",4,16,B002MSN3QQ
"Either this bottle missed quality control or the it is counterfeit. Granted, I bought it last year (2016) as a backup, and it has been sitting and waiting its turn for a while. However, it isn't yet expired, and it was kept in a pretty cool, dark, and dry cabinet. Yet when I used the cream for the first time last week, both the smell and the color were off -- completely unlike the (many) other bottles of this product I have used. I guess I'll have to go back to the dermatologist to get the real stuff. Very disappointed.",1,19,B002MSN3QQ
"My dermatologist suggested this to me. I have tried tons of sunscreen... TONS, all price points and all brands. I prefer physical blockers but they never mesh with my makeup, make me so greasy (and I'm already oily/combo), or leave a ghostly white cast on my deep brown skin. This absorbs easily, has no strong fragrance, plays well with makeup and moisturize, is still effective is Houston summer heat and humidity, and doesn't trigger my adult acne. I haven't had issues with the pump, I like that I can pump out a lot or a little but. It is not clear - it does leave a slight white cast on my skin, however It does dissipate and I always use at least powder to make my skin more even and absorb the oilies.",5,15,B002MSN3QQ
"This product contains two ingredients we know to be killing the coral reefs. They're found in many sunscreens: Octinoxate, and Oxybenzone. This sunscreen contains the latter. Even if you don't care about the environment (and why not? you do live here!) you probably aren't a fan of hurricanes, tropical storms, and the resulting floods. Coral reefs protect our shoes from erosion, mitigating the damage these storms, storms increasing in frequency and intensity. Please skip this sunscreen, and others containing the ingredients Octinoxate or Oxybenzone.",1,8,B002MSN3QQ
"This product is amazing for sensitive and acne-prone skin. 
I have had issues in the past with sunscreens breaking me out and with Elta MD I have no worries. I have been using it for about a month now per my aesthetician. I have noticed I did go through a purge but that wasn't the only new product I was testing so it could have been a combination of the two. Now after using it a month I have noticed my skin is more hydrated (it does give you a glow) honestly some days I will just put this on and go out the door, it gives you a dewy look. Also, it goes on white but turns clear as you rub it in. I have not seen any white cast after using it. Honestly, it's so amazing you don't even need a primer before makeup, I use one but some days I skip it and there is not much of a difference. This product is worth it and I will cont. to buy it. It also has no smell and the pump on it works amazing and pumps out so smoothly. 10/10",5,5,B002MSN3QQ
"Life changing product. No white cast on bare skin or under foundation and much better results with prescription HYDROQUINONE/retinoid mix. Absolutely no sensation on skin or eyes.
I use warm color foundations in light to medium beige range and get no white cast and use plenty of product.
I noticed a positive change in results of skin lightening in 2 days. IPL and 6% HYDROQUINONE were giving me middling results as I get older. This product is helping me get results I got when I was younger. I have sensitive skin and eyes and have no problems with Elta.
I've used various sunblocks, including LaRoche Posay physical and chemical. ELTA MD is far superior.",5,9,B002MSN3QQ
"After reading hundreds of reviews and trying several different ""sensitive"" face sunscreens, I bit the bullet and decided to try this although it's a little pricey. I'm the type who won't wear sunscreen if it feels as all greasy or heavy, even though I'm fair and know I need to. It just grosses me out. Most that I've tried -- Pür, Sun Bum, Aveeno Sensitive, Super Goop (the original cream formula) -- make me break out in little whiteheads. So I've been on a search for one that I would actually use for quite some time. Here's my take on this one:

- It's fairly smooth and lightweight, and feels fine on my face. But it left my fingers sticky, and if I put it on parts of my body that I touch throughout the day (backs of hands, neck, shoulders, etc.), it leaves a tacky/sticky feeling. Hate it.
- It rubs in well (so no white cast), and has not made me break out at all -- this is fairly impressive.
- The finish is not matte, but gives my face that oily sheen that I hate. No, no, no.
- Worst of all, it is not ""unscented."" I mean, it doesn't have an intentional scent, but it smells vaguely like... a hospital. It's not pleasant. The smell goes away after 20 minutes or so and I can endure, but it's pretty icky at first.

So, I'll use the rest of the bottle because it was expensive and doesn't make my face break out and I'm trying to be a responsible adult and wear my sunscreen, but it's not for me -- will not be re-purchasing.",2,3,B002MSN3QQ
"I bought this and loved using it until I realized that it contained Octinoxate, which is a dangerous ingredient in skincare for women. This ingredient is NOT highlighted on the product information area on this site and only shows it on the bottle listed on the back. I will no longer be using this product, unfortunately. I wish more people knew about this dangerous ingredient, especially when it is in a product that we use on our skin DAILY for protection. Please change your product information so that this ingredient is mentioned! Please consider changing your formula so that it can be a better product.",1,5,B002MSN3QQ
"Was wary because of reviews saying the product would not be authentic, but did some research and saw that EltaMD does have Amazon as an authorized seller now. I received an authentic product in February 2019. As for the sunblock itself, it feels nice! It has a more greasy feel going on than the Asian milky ones like Biore, so it feels moisturizing, but the greasiness goes away after rubbing into the skin, unlike Neutrogena. No scent and no white cast even though it's a physical sunscreen!",5,8,B002MSN3QQ
"I can't bash this product completely because it may be very effective for someone else. I've had a sensitivity to sunscreens for the last two years or so. The only brand that hasn't left me with blotchy, rashy skin is my Cera Ve with InvisibleZinc - but if you've used it before then you know that if you use a ""liberal"" amount... you still end up looking a bit dead or like a wanna-be clown. I had high hope for this sunscreen. ""UV Clear"" and ""Safe for sensitive skin and rosacea."" I received it in the morning, washed, moisturized, applied this sunscreen and went about my day. By bedtime, I noticed a bit of blotchiness and a slight itch. When I woke up in the morning my face was beet-red, slightly puffy, hot, burning/tingling and itchy as all hell. I look and feel like I have a sunburn.
SO - unfortunately not for me. As I write this I'm contemplating putting an ice pack on my face... UPDATE: I did read more about one of Elta's active ingredients, Octinoxate and some of the adverse reactions are contact dermatitis, rash, dry skin, inflammation... blah blah blah... My reaction was quite severe. If you happen to have sensitive skin be careful. I guess it's back to Cera Ve and the half-dead look for me (laughing).",1,3,B002MSN3QQ
"Pros: NO white cast, not greasy at all. It dries down completely and leaves you with a shine/glow, but not greasy or oily.
Cons: It stings a little for me, perhaps it's the niacinamide or lactic acid. When I first put it on I get really red, then it goes away. I also got a few little pimples the first week I used it. I also had some dryness and tightness for about a week, then my skin adjusted to the lighter formula.
I have been using EltaMD sunscreens exclusively this summer and have ultimately been disappointed. This one especially because it's so expensive. I do not burn or come even close when I use this brand, but it did not save me from getting new freckles. Maybe that means the UVB protection is superior to the UVA? Bottom line I don't think this is worth the price.",3,8,B002MSN3QQ
"Contains mineral sunblock & chemical sunscreen. The info. on the benefits & limitations of mineral vs. chemical sunscreens is VERY confusing. Consumer Reports recommends chemical sunscreens as they test better for skin protection. CR has taken the opinion that most of the chemicals approved in the U.S, for sunscreens, are completely safe. However, many of these ingredients aren’t approved in other countries because of safety concerns. And, ironically, two of the most effective sunscreen ingredients aren’t even available in the U.S. A result of politics & corporate greed. Some studies show that the most popular chemicals used in U.S. sunscreens can dangerously change healthy human hormone levels. And some ingredients may, in theory, be carcinogenic!

So, the EWG(I think those are the correct initials?) a health & environment safety group only recommends mineral( titanium & zinc) physical sun blocks. But, EWG focuses on safe ingredients much more than how well skin is protected from the suns rays. As long as a product states that it provides broad spectrum uva & uvb protection with an spf of 30 or above and it relies on mineral blocks,...EWG seems to approve. Every dermatologist I’ve seen also recommends broad spectrum mineral sun blocks!?!

Elta has a great reputation with most dermatologists. It IS rather pricey though. This particular elta product combines zinc & octinoxate. Perhaps the best of both worlds?
It doesn’t leave a white cast like pure mineral sunscreens do!! Plus it contains niacinamide for skin health. However, the zinc in this product is micronized. This makes it transparent. A quick internet search will show that micronized zinc is controversial too!! Some science shows it to be unsafe!

All of this conflicting info could make people throw their hands up and just forget sunscreen all together. I’ve decided to use brands, like Elta md., that my dermatologist approves of—but doesn’t sell. A combo of one chemical & one mineral(actually a chemical itself) that’s broad spectrum, spf 46 & doesn’t make me white or irritate my skin, is what I’m going with. Life is too short to obsess over sunscreen.",4,4,B002MSN3QQ
"I have sensitive oily skin and hormonal acne. I am a brown-skinned black woman and this facial sunscreen is a godsend! It’s so hard for women with brown skin to find a sunscreen that won’t leave a whitecast or turn us grey! And the tinted ones are never our color tint. Along with my particular skin issues I thought I’d never find a good sunscreen but this product is the answer. Now that I’ve used it for a few months I can see that it does improve the quality of my skin and it seems to be reducing my blemishes slightly too though I can’t be completely sure of the latter only because I use other products to lighten blemishes as well. I use my regular moisturizer under this product and I’ve never used it alone so I can’t say whether or not it moisturizes particularly well, but like I said, I have oily skin so it’d be hard to tell if it didn’t. This product has never irritated my skin or been problematic in any way. It has a lovely, very light clean smell that reminds me of baby products. This will now be a regular staple in my skincare regime.",5,3,B002MSN3QQ
"Overall is good.

Pros: Is light weight, it absorbs fast, no white cast, you only needs a small amount, is mattifying but not drying, it is fine under makeup.

Cons: If you apply other mattifying products before the sunscreen it will peel off AWFUL. For example I always do my skincare routine with 3 drops of niacinamide 10% from the ordinary + 1 pump of mattifying hydrator from Dr. Brandt then sun protection, and with EltaMD UV Clear Facial Sunscreen all the products peel off as soon as the sunscreen dries.
I tried to prevent this by:
1.- Reducing the amount of previous products I put on, it didn't work.
2.- Waiting more time between layer to let them dry better. Didn't work.
3.- Using only the sunscreen. It worked
4.- Not using other mattifying products. It worked.

So the product is good but it has a texture issue with other mattifying products.
Another cons, for me, is that 1 pump is a lot of product, I only user half a pump, is more that enough.

I will continue using this product but I don't think I will buy it again. I will continue my search of the perfect sunscreen for me.",4,3,B002MSN3QQ
I originally bought an Origins moisturizer with sunscreen bc the other moisturizers I use currently (Ponds and Belif) don't have any SPF. The Origins brand made me break out if I used it more than 1 day. Living in South Florida and coming up on pool season (hopefully soon post-COVID) I knew I needed to try another brand. I had a few friends recommend EltaMD and the reviews online were promising for combination or sensitive skin. I tend to fluctuate from oily to dry and if I put too much products on my face interchangeably it usually responds with a breakout. I have used this four days in a row now and have not had any adverse reactions. I would recommend trying for those who have had bad luck with other brands. The price point alone is attractive as some other brands I had recommended were over $60 for the same or smaller portions.,4,3,B002MSN3QQ
"Just when I found the perfect tinted daily sunscreen, Elta MD tinted, along came Covid and face masks. The tint is great but there is no way to wear it with a mask and not end up with stains on the inside. So, I tried the Elta MD UV Clear, SPF 46. Perfection! For some reason, anything with zinc oxide stays on the surface of my skin making me look as white as Morticia Adams. Somehow, Elta MD has found a way to provide great protection that is truly clear. And it isn't greasy. Other sunscreens leave your hands so oily it's hard to open bottles or insert contact lenses, even after washing your hands. I love this product! When we are free from masks again, I will also use the tinted. But the clear is fabulous. I highly recommend it.",5,2,B002MSN3QQ
"I previously purchased this about a year ago and I feel like I received a counterfeit product.

A couple weeks ago, I repurchased. I've used it every day since and my skin had no negative reactions. This sunscreen does not pill or irritate my acne prone/redness prone skin. It did sting a bit for the first couple days but not anymore.

I do not think it clogs my pores as much as other sunscreens. I really love this product. I have no deal complaints at all!

I highly recommend this if you're acne prone and oily. It's probably the best for humid environments but this is a solid sunscreen. I'm rating it a 9 out of 10. I don't think I've ever loved another sunscreen this much.",5,4,B002MSN3QQ
"In my 30s, I have decided to wear sunscreen everyday and I wanted a natural product that is gentle to be used that way. I was fool by this so called ""mineral"" sunscreen with raving reviews. This contains chemical ingredient and thats why there is no white cast. And the ranking on EWG is at 6!!! immediately after open I smell the strong chemical sunscreen scent. all day my face was oil but it made my face felt tender and irritated. this might be good if you are seeking a just no white cast sunscreen to use once a while. this is no way good for using everyday as the ingredients are way to toxic.",1,5,B002MSN3QQ
"This is my second go at Elta/MD Clear Facial sunscreen. The first bottle (several months ago) I used and dumped the rest in the trash. Now, my second go at it with another bottle and I'm starting to get that itch of -- 'throw the whole thing away'. For a guy with brown skin and who uses Retin-A gel, this Elta/MD Clear, DOES leave a white cast, ESPECIALLY IF you apply it twice in a day, without washing your face to remove the first application. My look...... my face..... well, it will send you screaming with night sweat. I guess, for color people, it's okay to wear around the house and that's about it. I also find it to be a bit drying, if applied alone. I'm NOT sure what the raves and hypes are all about. I believe Clinique's mineral sunscreen are better than this one, at least when applied over my face lotion.",2,4,B002MSN3QQ
"I've been using the elta md clear UV lotion for the past 5 years using this seller but I had to return the item this time. The product was not the same. It was thicker, no fresh cooling effects I when applied. It felt like a regular store bought cheap UV cream. It never questioned on authenticity of products from this seller until now. I better purchase through a physician' office.",1,13,B002MSN3QQ
I grew up in South Florida and lived in the Florida Keys and spent most of my life in the sun. I never used sunscreen on my face. At 66 years of age I decided it was time to have a sunscreen on my face. My dermatologist recommended this one. I use it every day now over top of my moisturizer. It took a while but my skin looks so much more amazing and healthy now. I would not go out in the sun without it on. It makes a huge difference. It’s a little pricey for most people but this little bottle last a really long time. You don’t need much. I put little dots all over my face it is very moisturizing and spreads easily,5,2,B002MSN3QQ
"I bought this mostly because Curology recommended it and it didn't cost $50+ per bottle. I was previously using Sun Bum SPF 30, which worked pretty well for me overall.

Anyway, getting into EltaMD's SPF 46 (such a random number!) for faces...

Did it have a strange smell? Yes, but as long as you're not getting super intimate with people, nobody is going to notice the smell. It's not that strong smelling.

Does it leave a slight white shadow on my face? Yes, but overall, it absorbs pretty well for being SPF 46. Again, usually I use 30 or even as low as 15.

When I sweat, does it burn my eyes any more than how much my own perspiration burns my eyes when I sweat? NO!!!

Does it prevent sunburn on a very sunny day in August in Florida? YES!!!!

Has it caused my acne prone skin to break out? NO!!!

Those last 3 statements are the reasons why I give this product a 5 star review. Works just as well if not better than Sun Bum, and burns my eyes less than Sun Bum.",5,2,B002MSN3QQ
